1;"Essen und Trinken sind Grundrechte und sollten auch für finanziell benachteiligte Studierenden günstig zu erwerben sein."
1;"Wir wissen, dass gerade die Personen- und Fahrradmitnahme beim alten Semesterticket sehr wichtig für viele Studierende war, daher werden wir uns dafür einsetzen, dass diese Option wieder verfügbar ist. Zusätzlich setzen wir uns dazu ein, dass das Ticket wieder offline verfügbar ist, um erhöhte Beförderungsentgelte zu vermeiden."
0;"Die Inflation macht sich überall bemerkbar und eine leichte Anpassung des Studierendenschaftsbeitrages würde auch den Fachschaften zu Gute kommen."
0;"Die Universität hat sich in der Vergangenheit schon dazu geäußert."
1;"Ja wir haben uns die letzten Jahre im Studierendenparlament dafür eingesetzt und werden dies auch künftig unterstützen."
1;"Prüfungen sind für die meisten Studierenden Angst- und Stresssituationen. Die Studierenden sollten hier psychisch entlastet werden."
1;"Verbessert die Vereinbarkeit von Studium mit anderen Pflichten wie z.B. Care-Arbeit"
1;"Die Universität sollte hier als Bildungsinstitution ihre Vorbildfunktion einnehmen und versuchen alle Geschlechter in ihre Sprache mit einzubeziehen. Hierfür soll es ein einheitliches Vorgehen geben."
1;"Die Errungenschaft eines deutschlandweitgültigen Studierendentickets ist ein großer Erfolg. Wir setzen uns dafür ein, dass das beibehalten wird."
1;"Menstruationsprodukte sind teuer und Menstruationen sind nicht immer planbar, deswegen sollten die Produkte für Studierende zur Verfügung gestellt werden"
0;"Eine Evaluation der akduell-Gelder ist sinnvoll, wenn sie die Stärkung der akduell zum Ziel hat."
-1;"Den Studierenden darf kein Nachteil entstehen wenn sie sich gegen geschlechtergerechte Sprache entscheiden. Die Studierenden sollen dazu befähigt werden, sich differenziert mit diesem Thema auseinander zu setzen  und sich auf Grund eigenen Nachdenkens für eine Sprachvariante entscheiden, statt eine autoritäre Pflicht einzuführen, die im Zweifel einen eher negativen Effekt hat."
1;"Das Studierendenparlament sollte sich öffentlichkeitswirksam dafür einsetzen, da die finanzielle Situation in den Studierendenwerken immer mehr unter Druck gerät."
1;"Mit dem Bau der neuen Parkhäuser wurden mehr Parkmöglichkeiten geschaffen. Deshalb sollten Parkplätze direkt auf den Campus entsiegelt werden um dort Raum und Aufenthaltsmöglichkeiten für Studierende zu schaffen und für mehr Biodiversität zu sorgen."
0;"Eine Abmeldung bis zu 24 h vor dem Prüfungstermin halten wir für sinnvoll. Eine Anmeldung bis zu 24 h stellt große logistische Herausforderungen für die Universität bzgl Raumplanung etc."
1;"Den Studierenden darf durch die Inflation kein finanzieller Nachteil entstehen."
0;"Der Beitrag für die Studierendenschaft sollte dann steigen, wenn es nötig ist, um eine schlagkräftige politische Studierendenvertretung zu haben, die auch soziale Angebote an bedürftige Studierende machen kann. Bei einer Erhöhung irgendwann in der Zukunft würde es sich hierbei um einen oder zwei Euro handeln."
1;"Die Öffnungszeiten sollten die flexible Gestaltung des Studiums widerspiegeln, zusätzlich sollte die Uni auch ein Treffpunkt außerhalb der Vorlesungen und Seminare nutzbar sein."
-1;"Der AStA hat laut Hochschulgesetz die politische Bildung sowie die Förderung der Bereitschaft zur aktiven Toleranz als Aufgabe und ist schon alleine deswegen angehalten nicht nur strikt hochschulbezogene Themen zu bearbeiten."