"Stärkung der Fachschaften";"Fachschaften sollten finanziell gestärkt werden."
"Förderung von hybrider Lehre";"Hybride Lehre sollte durch Vorlesungsvideos gestärkt werden."
"Kosten-Nutzen der Akduell";"Es müssen Verbesserungsmaßnahmen zum Kosten-Nutzen Verhältnis der Studierendenzeitung Akduell getroffen werden."
"Klausuranmeldung";"Die Anmeldung und Abmeldung für Klausuren sollten jederzeit möglich sein."
"Fokus des AStAs";"Der AStA sollte sich politisch auf die hochschulrelevanten Themen konzentrieren."
"Bekennung zu Israel";"Die UDE sollte sich stärker zu der Souveränität Israels und unseren israelischen Partneruniversitäten bekennen."
"Gendern in offiziellen Dokumenten";"Es sollte eine Pflicht zur Gendergerechtensprache in offiziellen Dokumenten der Universität geben."
"Gendern in wissenschaftlichen Arbeiten";"In Hausarbeiten oder sonstigen wissenschaftlichen Arbeiten sollte es eine Pflicht zur Gendergerechtensprache geben."
"BaföG Inflation";"Die Berechnung des BAföG-Satzes sollte die Inflation miteinbeziehen."
"Essen subventionieren";"Die Studierenden sollten bei finanziellen Notlagen das Essen in der Mensa und in der Cafeteria subventioniert bekommen."
"Sozialdarlehen";"Das Sozialdarlehen ist ein zinsfreies Darlehen für Studierende in finanziellen Notlagen. Es soll unterstützt und gefördert werden."
"Semesterticket deutschlandweit";"Das Semesterticket soll weiterhin deutschlandweit gültig sein."
"Studierendenwerk fördern";"Die Studierendenwerke müssen vom Land mehr Gelder erhalten, damit die Kosten nicht an die Studierenden weitergetragen werden."
"Semesterbeitrag darf nicht steigen";"Der Semesterbeitrag darf nicht weiter steigen. Der Allgemeine Studierendenausschuss soll weiterhin mit seinem bisherigen Anteil von 16€ pro Studierenden auskommen."
"Semesterticket Angebot";"Es sollte ein günstiges, auch offline verfügbares Semesterticket mit Fahrradmitnahme/Personenmitnahme geben."
"Anzahl von Prüfungsversuchen";"Die begrenzte Anzahl an Prüfungsversuchen soll abgeschafft werden."
"Kostenlose Menstruationsprodukte";"Am Campus sollten kostenlose Menstruationsprodukte zur Verfügung stehen."
"Aufenthaltsplätze im Grünen";"Flächen sollten entsiegelt und mehr Aufenthaltsplätzen im Grünen geschaffen werden."
"Öffnungszeiten von Cafeten und Bibliotheken";"Cafeten und Bibliotheken sollten länger geöffnet sein."